Trajectories
100
,,maze:take_off,,,maze:enter_right,,,maze:enter_left,,,maze:enter_far-left,,,maze:enter_far-right,,,maze:y-join_left,,,maze:y-join_right,,,maze:exit_left,,,maze:exit_right,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
46,0,-1011.903137,1562.091187,-18.658745,-1435.501221,-132.021622,13.049107,-364.801971,-141.872910,7.567380,1791.235596,-171.722183,13.896357,-3909.346436,-89.626945,2.363448,-394.593323,-1921.187378,41.357609,-1417.868530,-1906.438354,43.393570,388.193329,-3222.997070,62.477173,-2219.873047,-3222.475830,56.725208
47,0,-1011.903870,1562.091431,-18.734167,-1435.407227,-131.987671,13.121053,-364.658569,-141.937683,7.479579,1791.214600,-171.730194,13.900424,-3909.548828,-89.517387,2.219604,-394.591644,-1921.190918,41.348537,-1417.841431,-1906.447632,43.397369,388.202972,-3223.031738,62.446148,-2219.891602,-3222.565186,56.683796
48,0,-1011.855835,1561.901978,-18.824608,-1435.364502,-131.976105,13.124901,-364.512909,-141.965424,7.611004,1791.213135,-171.751678,13.924891,-3909.750244,-89.523788,2.108061,-394.618530,-1921.209717,41.333176,-1417.870850,-1906.437744,43.399723,388.193604,-3223.003662,62.499332,-2219.805908,-3222.546143,56.721943
49,0,-1011.939026,1561.888550,-18.623547,-1435.442017,-131.970596,13.109219,-364.484039,-141.973190,7.592251,1791.293213,-171.742432,13.907108,-3909.296631,-89.629982,2.356697,-394.598175,-1921.226562,41.339314,-1417.868408,-1906.448853,43.398090,388.182495,-3223.037598,62.478592,-2219.857666,-3222.480957,56.751434
50,0,-1011.939026,1561.889526,-18.602221,-1435.375000,-131.980331,13.125658,-364.470764,-141.955902,7.571515,1791.442993,-171.713470,13.840573,-3909.613525,-89.546257,2.089444,-394.589264,-1921.190552,41.346458,-1417.860352,-1906.439697,43.393753,388.191132,-3223.007324,62.488018,-2219.807373,-3222.465820,56.730621
51,0,-1011.903076,1562.090454,-18.687685,-1435.401367,-132.009949,13.099009,-364.808990,-141.868301,7.595048,1791.437744,-171.692154,13.827817,-3909.486572,-89.530785,2.144721,-394.587158,-1921.197144,41.353298,-1417.854980,-1906.431396,43.397270,388.190460,-3223.030273,62.451649,-2219.864258,-3222.483643,56.696457
52,0,-1011.903381,1562.094360,-18.657486,-1435.418335,-132.012268,13.129147,-364.667358,-141.899673,7.539580,1791.400513,-171.720886,13.842690,-3909.536377,-89.507034,2.091757,-394.566040,-1921.175903,41.360550,-1417.838501,-1906.436523,43.414196,388.199432,-3223.063721,62.445984,-2219.818359,-3222.482178,56.723248
53,0,-1011.936279,1562.063843,-18.657320,-1435.421631,-131.976120,13.089943,-363.895874,-142.211426,7.150898,1791.547119,-171.695389,13.801528,-3909.546143,-89.501167,2.069924,-394.566589,-1921.187256,41.324299,-1417.853882,-1906.436035,43.392605,388.189484,-3223.069092,62.413479,-2219.840332,-3222.501221,56.702538
54,0,-1011.907593,1561.916992,-18.611887,-1435.403442,-132.000290,13.110215,-364.494537,-141.952698,7.556921,1791.429077,-171.718277,13.835916,-3908.828369,-89.826706,2.647057,-394.587616,-1921.207275,41.295681,-1417.854248,-1906.439331,43.391186,388.211029,-3223.073975,62.415089,-2219.896484,-3222.497803,56.674274
55,0,-1011.886230,1561.872803,-18.612230,-1435.482788,-131.998596,13.083639,-364.786469,-141.900589,7.554769,1791.452148,-171.724258,13.804250,-3909.341309,-89.535561,2.283910,-394.609619,-1921.239258,41.276047,-1417.867065,-1906.435425,43.392593,388.201813,-3223.037109,62.431923,-2219.832764,-3222.471191,56.728760
